session_id,timestamp,avg_buffer,min_buffer,max_buffer,focus_time,attention_time,avg_kpm,mouse_activity,pause_count,app_switches,session_duration,hour_of_day,day_of_week,session_mode_is_standard,is_synthetic,focus_score
316b23b4-16e9-43e9-95a7-d9463772e96a,1775786699172,81.13,62.12,99.45,2877.48,2945.83,20.13,4935,0,2,3154,7,5,0,1,78
828ecd10-d1f8-4ed3-bda5-74c7dd14b60a,1775807037172,89.57,63.71,98.81,2405.33,2233.9,29.55,4834,2,2,2463,13,5,0,1,75
304f5c7f-1b88-4e84-acc9-0e67e9fd0958,1775812436172,84.68,67.76,97.84,3147.19,3300.91,34.39,3448,0,6,3448,14,5,1,1,82
902def70-dbf7-4053-8fc9-487a8c790a29,1775831600172,81.55,58.59,100.0,2116.74,2102.52,22.72,4484,1,1,2200,20,5,0,1,81
e61d2b89-8556-43c1-91c3-d4a19d6c3271,1775848106172,79.52,59.54,99.78,2306.95,2142.25,26.38,4741,0,3,2459,0,6,1,1,89
ed7cb7de-179a-43f2-9a2e-c67d2955841f,1775866807172,89.37,78.0,98.79,1757.4,1714.25,28.08,4268,0,3,1950,5,6,0,1,84
52bca63a-85d5-4670-91bc-a728a0cc8be8,1775873008172,91.5,58.06,99.24,2923.1,2778.06,33.08,6379,0,1,3056,7,6,1,1,87
29408d00-5df8-4054-b0ec-846f4d345782,1775885861172,80.23,54.36,97.95,2496.77,2263.61,22.24,6636,0,6,2600,11,6,0,1,84
1e264517-9592-4386-9a0c-d71c1ca19a52,1775960221172,84.61,67.73,98.55,3300.24,3145.52,36.72,6523,0,9,3493,7,0,1,1,78
4938be62-5077-4c31-8c6a-c0beed836381,1776035288172,87.41,50.73,97.51,2829.43,2800.36,27.23,6605,0,3,3043,4,1,0,1,84
d928c096-16b6-449d-808e-4694cb5fb024,1776254686172,90.23,62.26,96.15,1856.26,1905.09,28.55,4750,0,4,2052,17,3,1,1,89
4acc075c-216a-4c3d-a20b-9dc48fd1c1d6,1776291630172,85.26,68.6,100.0,2325.58,2150.73,31.94,3312,0,2,2584,3,4,1,1,83
bac7d94f-6d79-4055-a56a-c6000fb78d56,1776328137172,81.14,63.11,97.03,2736.01,2906.68,16.8,6949,0,1,2966,13,4,0,1,81
9efcb7da-82af-4a12-b238-2eb415271846,1776533050172,90.44,72.73,96.98,2145.01,2005.13,25.75,3037,0,2,2243,22,6,0,1,81
0d4c1128-2d70-47b7-8160-916eb4ec496a,1776555195172,81.14,78.0,97.33,2623.05,2629.52,18.33,7123,0,5,2881,5,0,1,1,85
f6ce8f13-a9c7-49ed-b456-762663c40aac,1776637823172,93.26,55.53,98.46,2355.52,2245.67,32.19,5954,0,5,2589,4,1,0,1,81
6806a45c-66ee-4671-b48a-b3ce3d6cd9a7,1776660873172,82.8,66.05,100.0,3140.27,3389.51,28.06,5404,0,4,3581,10,1,1,1,84
d157ef38-7db1-404d-9e8c-606f5e6b3d46,1776680492172,83.07,69.86,100.0,2931.82,2995.15,30.89,7366,0,4,3298,15,1,0,1,89
60574d9a-863c-43cf-a414-2f3b9f973d0e,1776737000172,82.57,66.66,99.77,1888.24,1823.73,25.87,5159,1,3,2084,7,2,1,1,80
2bb230f6-0ffb-496a-ae5c-5122f305ec21,1776759559172,89.38,78.0,94.25,3115.1,2963.24,25.79,5552,0,3,3217,13,2,0,1,89
42ff947f-3b6e-419c-8cbf-70b23bbddc39,1776770745172,89.13,71.51,100.0,3238.78,3262.16,26.14,7606,2,3,3518,16,2,1,1,79
2ba72d33-ea5c-4d75-bfab-14e8a4eeae75,1776810249172,95.0,73.99,100.0,2658.21,2658.94,29.95,8291,1,3,2922,3,3,1,1,84
cf6d7b12-7829-4c47-8668-560dc016db15,1776842563172,82.83,66.63,99.12,2835.69,2835.68,25.14,4998,0,5,2997,12,3,1,1,73
94ec45f1-ab67-4012-b462-1b0fdad9626d,1776899526172,92.85,64.85,95.99,3083.82,2979.87,29.94,5320,1,4,3354,4,4,0,1,84
6df00eca-9e23-401a-9b99-e1888974ec24,1776976927172,85.29,58.25,100.0,2909.22,2878.62,30.34,5957,2,3,3192,2,5,1,1,88
269e7fa9-70fa-44a4-8574-8120db7f389e,1777003363172,79.67,78.0,98.81,2960.58,3180.44,35.2,9491,2,7,3264,9,5,0,1,79
55b3def9-4de7-4f21-947a-f472ec4a9892,1777026204172,78.95,77.71,96.49,2834.07,2685.76,23.37,5557,0,3,3171,15,5,0,1,76
bc803bd7-3ff3-4c50-93a4-584194915a35,1777035193172,88.4,54.44,100.0,2587.18,2386.38,17.72,7249,2,3,2708,18,5,0,1,85
bfc3e084-d321-4dc1-99b8-73625a799d08,1777048612172,86.09,61.12,100.0,2707.98,2649.25,32.85,7194,0,4,2922,22,5,0,1,80
