Session ID,Date + Time,Mode,Type,Duration (s),Completed,End Reason,Focus Score,Apps Killed,Distractions
6c310206-f617-491f-b0fa-d08f17fbb474,2026-07-06 22:51:09,pomodoro,focus,0,No,abandoned,N/A,1,0
814b6512-fc8c-4022-9b54-843016db2819,2026-07-07 01:04:57,standard,N/A,0,Yes,manual_stop,N/A,0,0
127a6b5e-06b8-4906-9147-c6cf1409089e,2026-07-07 01:05:14,pomodoro,focus,0,No,abandoned,N/A,0,0
723b43e5-77a7-449f-96f3-02d0ec1f00a6,2026-07-07 01:52:13,standard,N/A,4080,Yes,manual_stop,0%,0,0
837654f8-db2e-405a-8f15-e260dbc9c86f,2026-07-07 03:11:45,standard,N/A,17,Yes,manual_stop,0%,0,0
19507545-d6bd-49c3-9949-3a5358335888,2026-07-07 03:24:12,pomodoro,focus,0,No,abandoned,N/A,0,0
001cf3cb-d07d-4d48-bc84-e747a1363ac1,2026-07-07 03:25:52,pomodoro,focus,0,No,abandoned,N/A,0,0
70651d62-a84b-4dcc-8a41-6c078a7b9874,2026-07-07 03:29:33,pomodoro,focus,0,No,abandoned,N/A,0,0
bb29886f-8776-4fee-8569-4ff765864786,2026-07-07 03:31:55,pomodoro,focus,0,No,abandoned,N/A,0,0
e2114fec-92f4-487b-98ff-7cc58759f3a1,2026-07-07 03:35:33,pomodoro,focus,0,No,abandoned,N/A,0,0
9c98e712-8447-4e65-b8ed-4d27380262c7,2026-07-07 03:46:58,pomodoro,focus,0,No,abandoned,N/A,0,0
61f4b89a-4385-4462-ae13-a20b5b5e33fd,2026-07-07 03:49:11,pomodoro,focus,0,No,abandoned,N/A,0,0
c74ed2d1-de66-46ac-8c23-db44e53e69c2,2026-07-07 03:53:07,pomodoro,focus,0,No,abandoned,N/A,0,0
84044cc4-d651-455d-9ed5-e6825e9c2ed2,2026-07-07 16:21:28,pomodoro,focus,0,No,abandoned,N/A,0,0
f92f3012-4263-4026-8563-b626d725a920,2026-07-07 16:39:44,pomodoro,focus,0,No,abandoned,N/A,0,0
8bf34ed0-78be-4beb-9563-6d8491ad6214,2026-07-07 16:39:58,standard,N/A,4,Yes,manual_stop,0%,0,0
e952708d-25f0-4368-aac7-2b5e26ac5e98,2026-07-07 16:44:36,pomodoro,focus,0,No,abandoned,N/A,0,0
4e8488a7-8acd-42af-ba3e-b11bfce5e2cc,2026-07-07 16:45:39,pomodoro,focus,0,No,abandoned,N/A,0,0
7e2f9dc4-7a31-4af1-86f3-648a0f1b7cdf,2026-07-07 16:46:08,pomodoro,focus,0,No,abandoned,N/A,0,0
2c2ebca3-f34a-41c7-9559-0825ebecc2f7,2026-07-07 16:50:03,pomodoro,focus,0,No,abandoned,N/A,0,0
065d516b-9404-407a-b2f4-2705ad9d8836,2026-07-07 16:52:21,pomodoro,focus,10,No,abandoned,0%,0,0
7e4fcdfd-e4c6-4c4a-9afd-82dd7d36c594,2026-07-07 16:54:44,pomodoro,focus,166,No,abandoned,0%,0,0
5a32f794-b7e0-4638-b422-f1aa219d9fb3,2026-07-07 17:10:44,pomodoro,focus,975,No,abandoned,0%,0,0
d2fe38b0-05d0-4b6a-b840-2926a497d80a,2026-07-07 17:27:49,standard,N/A,564,Yes,manual_stop,0%,0,0
87cbe2d4-f02a-49e9-ae5f-3d2ce4c0ed6f,2026-07-07 17:39:43,standard,N/A,937,Yes,manual_stop,0%,0,0
847f8831-b8f0-412f-af12-5978361d121f,2026-07-07 18:03:16,pomodoro,focus,20,No,abandoned,0%,0,0
c95a1e12-39fd-4f8e-8b2d-f47f2e9a7fff,2026-07-07 18:03:52,standard,N/A,3,Yes,manual_stop,0%,0,0
93996c09-99b5-4e52-ab9a-18dd5e7aceda,2026-07-07 18:04:14,pomodoro,focus,3,No,abandoned,0%,0,0
d5ee53d5-6a32-41d6-9f40-96475c533a00,2026-07-07 18:04:40,standard,N/A,32,Yes,manual_stop,0%,0,0
46ee7935-15e7-44ba-bb01-6ae795e51458,2026-07-07 18:09:50,standard,N/A,543,Yes,manual_stop,0%,0,0
acc12d83-0773-4bc2-bf84-ee2353817904,2026-07-07 18:25:35,standard,N/A,144,Yes,manual_stop,0%,0,0
f91befbc-d88d-48d8-9f23-f928e16dbe76,2026-07-07 18:34:06,standard,N/A,223,Yes,manual_stop,0%,0,2
17f018e5-a8dc-4726-ab38-ee9e4e33cafc,2026-07-07 21:36:36,pomodoro,focus,45,No,abandoned,0%,0,0
01ab051a-5590-4fbe-8f4f-7fdc5209c8e6,2026-07-07 21:54:50,pomodoro,focus,41,No,abandoned,18%,0,0
7a69993f-cfe4-437f-a617-930f8018859a,2026-07-07 22:24:37,pomodoro,focus,322,No,abandoned,20%,0,0
89accc97-3da8-433e-a76f-ca1903913cdc,2026-07-07 22:41:53,pomodoro,focus,291,No,abandoned,22%,0,0
5f4a98fc-d206-41ee-9643-362697d1feb8,2026-07-07 22:55:04,pomodoro,focus,67,No,abandoned,20%,0,0
7ae09142-368a-43d5-9d32-4298fa92dca1,2026-07-08 19:14:23,pomodoro,focus,426,No,abandoned,52%,0,0
403af7ff-a569-4130-af6b-a689834f4148,2026-07-08 20:16:16,pomodoro,focus,69,No,abandoned,42%,0,0
9fbe5920-789d-4bc2-9ddf-a5b34db9e75e,2026-07-08 20:18:50,pomodoro,focus,194,No,abandoned,49%,0,0
e8945eda-77e7-4363-b62c-3267c578c736,2026-07-08 20:34:41,pomodoro,focus,42,No,abandoned,60%,0,0
f1304f9d-5fc2-465e-b115-f0c48ea47475,2026-07-08 20:44:02,pomodoro,focus,10,No,abandoned,60%,0,0
8ae676e9-e109-4d4a-a509-7a30f96ed45d,2026-07-08 20:44:29,pomodoro,focus,38,No,abandoned,60%,0,0
c236a2a9-9976-4976-bdcc-6a9939b2fb8d,2026-07-08 20:46:45,pomodoro,focus,26,No,abandoned,45%,0,2
466f6680-24a2-463f-b29c-84384526d6bd,2026-07-08 21:19:24,pomodoro,focus,17,No,abandoned,60%,0,0
5b5eacc4-c564-4790-84e7-23e4a3bce3bd,2026-07-08 21:21:12,pomodoro,focus,84,No,abandoned,64%,0,0
